-150	2.866	0.01171	983	8.64E-06	3.01E-06	0.7246
-100	2.038	0.01582	966	1.19E-06	5.84E-07	0.7263
-50	1.582	0.01979	999	1.47E-05	9.29E-06	0.7440
-40	1.514	0.02057	1002	1.53E-05	1.01E-05	0.7436
-30	1.451	0.02134	1004	1.58E-05	1.09E-05	0.7425
-20	1.394	0.02211	1005	1.63E-05	1.17E-05	0.7408
-10	1.341	0.02288	1006	1.68E-05	1.25E-05	0.7387
0	1.292	0.02364	1006	1.73E-05	1.34E-05	0.7362
5	1.269	0.02401	1006	1.75E-05	1.38E-05	0.7350
10	1.246	0.02439	1006	1.78E-05	1.43E-05	0.7336
15	1.225	0.02476	1007	1.80E-05	1.47E-05	0.7323
20	1.204	0.02514	1007	1.83E-05	1.52E-05	0.7309
25	1.184	0.02551	1007	1.85E-05	1.56E-05	0.7296
30	1.164	0.02588	1007	1.87E-05	1.61E-05	0.7282
35	1.145	0.02625	1007	1.90E-05	1.66E-05	0.7268
40	1.127	0.02662	1007	1.92E-05	1.70E-05	0.7255
45	1.109	0.02699	1007	1.94E-05	1.75E-05	0.7241
50	1.092	0.02735	1007	1.96E-05	1.79E-05	0.7228
60	1.059	0.02808	1007	2.01E-05	1.90E-05	0.7202
70	1.028	0.02881	1007	2.05E-05	1.99E-05	0.7177
80	0.9994	0.02953	1008	2.10E-05	2.10E-05	0.7154
90	0.9718	0.03024	1008	2.14E-05	2.20E-05	0.7132
100	0.9458	0.03095	1009	2.18E-05	2.30E-05	0.7111
120	0.8977	0.03235	1011	2.26E-05	2.52E-05	0.7073
140	0.8542	0.03374	1013	2.35E-05	2.75E-05	0.7041
160	0.8148	0.03511	1016	2.42E-05	2.97E-05	0.7014
180	0.7788	0.03646	1019	2.50E-05	3.21E-05	0.6992
200	0.7459	0.03779	1023	2.58E-05	3.46E-05	0.6974
250	0.6746	0.04104	1033	2.76E-05	4.09E-05	0.6946
300	0.6158	0.04418	1044	2.93E-05	4.76E-05	0.6935
350	0.5664	0.04721	1056	3.10E-05	5.47E-05	0.6937
400	0.5243	0.05015	1069	3.26E-05	6.22E-05	0.6948
450	0.488	0.05298	1081	3.42E-05	7.01E-05	0.6965
500	0.4565	0.05572	1093	3.56E-05	7.80E-05	0.6986
600	0.4042	0.06093	1115	3.85E-05	9.52E-05	0.7037
700	0.3627	0.06581	1135	4.11E-05	1.13E-04	0.7092
800	0.3289	0.07037	1153	4.36E-05	1.33E-04	0.7149
900	0.3008	0.07465	1169	4.60E-05	1.53E-04	0.7206
1000	0.2772	0.07868	1184	4.83E-05	1.74E-04	0.7260
1500	0.199	0.09599	1234	5.82E-05	2.92E-04	0.7478
2000	0.1553	0.11113	1264	6.63E-05	4.27E-04	0.7539
